name,shape,nbits,ours_bit_density,bonsai_bit_density,ours_zero_scale_frac,bonsai_zero_scale_frac,ours_scale_mean,ours_scale_std,bonsai_scale_mean,bonsai_scale_std,ours_all0_group_frac,ours_all1_group_frac,bonsai_all0_group_frac,bonsai_all1_group_frac,fp16_weight_std,ours_deq_std,bonsai_deq_std,ours_rel_l2,bonsai_rel_l2,ours_cos_fp16,bonsai_cos_fp16
model.layers.7.mlp.up_proj,6144x2048,12582912,0.5000110864639282,0.50008225440979,0.0,0.0,0.17073194682598114,0.029795968905091286,0.14687947928905487,0.01652096025645733,0.0,0.0,0.0,0.0,0.03241077810525894,0.0844709575176239,0.07390284538269043,1.9470573663711548,1.9901028871536255,0.767683207988739,0.4909173250198364
model.layers.7.self_attn.k_proj,1024x2048,2097152,0.4989776611328125,0.500605583190918,0.0,0.0,0.1624746024608612,0.04687153920531273,0.07612639665603638,0.013514322228729725,0.0,0.0,0.0,0.0,0.03153357282280922,0.08224456012248993,0.038658298552036285,1.950418472290039,1.1433415412902832,0.7665089964866638,0.4876670241355896
model.layers.7.self_attn.o_proj,2048x2048,4194304,0.5011091232299805,0.5001652240753174,0.0,0.0,0.16383099555969238,0.03998037800192833,0.10878211259841919,0.020449087023735046,0.0,0.0,0.0,0.0,0.03180268779397011,0.08238141238689423,0.05534372478723526,1.9256457090377808,1.4102892875671387,0.7724765539169312,0.585975706577301
model.layers.7.self_attn.q_proj,2048x2048,4194304,0.49973106384277344,0.49999570846557617,0.0,0.0,0.17351987957954407,0.051758795976638794,0.07507816702127457,0.014778075739741325,0.0,0.0,0.0,0.0,0.03341582790017128,0.0874377191066742,0.03825938701629639,1.9668904542922974,1.092287540435791,0.7601750493049622,0.48815053701400757
model.layers.7.self_attn.v_proj,1024x2048,2097152,0.5012359619140625,0.5001039505004883,0.0,0.0,0.18584707379341125,0.03065311163663864,0.13783890008926392,0.014053638093173504,0.0,0.0,0.0,0.0,0.03454826772212982,0.09142817556858063,0.06927673518657684,1.9990519285202026,1.602399230003357,0.757106363773346,0.611706554889679
model.layers.8.mlp.down_proj,2048x6144,12582912,0.5003692507743835,0.4999731481075287,0.0,0.0,0.1755916327238083,0.032884206622838974,0.10097362101078033,0.011606796644628048,0.0,0.0,0.0,0.0,0.03243882954120636,0.08628369867801666,0.05081925913691521,2.014554262161255,1.3089711666107178,0.7550286054611206,0.5556195974349976
model.layers.8.mlp.gate_proj,6144x2048,12582912,0.5004251003265381,0.4997151792049408,0.0,0.0,0.19829003512859344,0.04925797879695892,0.1394379585981369,0.020900258794426918,0.0,0.0,0.0,0.0,0.03834449499845505,0.09945604205131531,0.07049780339002609,1.9329862594604492,1.598069429397583,0.7693671584129333,0.4966962933540344
model.layers.8.mlp.up_proj,6144x2048,12582912,0.5001083612442017,0.500004768371582,0.0,0.0,0.17346495389938354,0.02911384403705597,0.15165409445762634,0.017222894355654716,0.0,0.0,0.0,0.0,0.032809846103191376,0.08566807210445404,0.07631445676088333,1.9528756141662598,2.0317277908325195,0.7667127251625061,0.4905887544155121
model.layers.8.self_attn.k_proj,1024x2048,2097152,0.49930381774902344,0.5004873275756836,0.0,0.0,0.1689465045928955,0.07319032400846481,0.08855792880058289,0.021014787256717682,0.0,0.0,0.0,0.0,0.03223375231027603,0.08672839403152466,0.045508574694395065,2.076702356338501,1.230493426322937,0.7297018766403198,0.5238414406776428
model.layers.8.self_attn.o_proj,2048x2048,4194304,0.4992647171020508,0.49974679946899414,0.0,0.0,0.1606953740119934,0.03811245784163475,0.10760096460580826,0.018011344596743584,0.0,0.0,0.0,0.0,0.03124289959669113,0.08080460876226425,0.054548993706703186,1.9197216033935547,1.44674551486969,0.7740294337272644,0.5599541068077087
